step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,26410696.0,16906.28125,5248.32666015625,22.675792694091797
2,1,205790528.0,13389.2802734375,41131.328125,8.21120548248291
3,1,24247404.0,13578.0322265625,4822.32470703125,6.43496036529541
4,1,38905972.0,13089.349609375,7755.01611328125,4.774676322937012
5,1,57390852.0,11367.982421875,11455.4345703125,3.6026628017425537
6,1,67894040.0,11776.099609375,13555.255859375,3.048710346221924
7,1,56252792.0,15828.404296875,11218.9013671875,3.6443755626678467
8,1,42397360.0,11070.8515625,8457.330078125,3.2849769592285156
9,1,39074060.0,11575.6005859375,7791.6611328125,3.0080645084381104
10,1,35508000.0,11371.6494140625,7078.85693359375,3.1034631729125977
11,1,35075540.0,13180.150390625,6988.748046875,3.998159885406494
12,1,31825248.0,11075.423828125,6342.89892578125,2.753814697265625
13,1,30645450.0,12747.21484375,6103.595703125,2.9669013023376465
14,1,28664268.0,14131.443359375,5704.5908203125,2.933431386947632
15,1,27340316.0,11938.779296875,5444.185546875,3.0117979049682617
16,1,25700842.0,13111.5390625,5113.9453125,3.3560848236083984
17,1,24470586.0,12249.51171875,4869.6181640625,3.3389205932617188
18,1,22664710.0,11780.48046875,4509.38134765625,3.455904483795166
19,1,22227850.0,15980.85546875,4413.6083984375,3.758352279663086
20,1,20976908.0,14785.609375,4165.810546875,3.6046252250671387
21,1,20241106.0,16214.328125,4015.792236328125,4.2061686515808105
22,1,19363880.0,16373.26171875,3840.02978515625,4.25372838973999
23,1,19441802.0,16080.0517578125,3856.200439453125,4.383795738220215
24,1,19156250.0,16776.34765625,3797.697021484375,4.96524715423584
25,1,18195678.0,17089.533203125,3604.95654296875,4.964311599731445
26,1,18863212.0,16459.4375,3739.7236328125,4.400543212890625
27,1,17816234.0,16495.78515625,3530.25537109375,4.86171817779541
28,1,17425134.0,17404.35546875,3450.218017578125,5.623922348022461
29,1,17501922.0,16428.5546875,3467.52734375,5.068361282348633
30,1,16815536.0,18382.5390625,3326.34228515625,5.3526716232299805
31,1,17251046.0,17858.578125,3414.491943359375,5.215839385986328
32,1,16922746.0,18132.337890625,3348.284423828125,5.230225563049316
33,1,16321766.0,20591.26953125,3223.170654296875,5.751260757446289
34,1,16068140.0,18135.705078125,3177.356689453125,5.351296424865723
35,1,15671940.0,16873.61328125,3100.640869140625,5.308021545410156
36,1,15461126.0,17626.40234375,3056.972412109375,5.531160354614258
37,1,15045734.0,19290.763671875,2970.565185546875,6.1588134765625
38,1,15371052.0,18012.2109375,3038.18603515625,5.487912178039551
39,1,14600150.0,18095.0546875,2883.83984375,6.322333812713623
40,1,13929838.0,21862.185546875,2742.2431640625,7.382010459899902
41,1,14066565.0,20233.9296875,2772.84521484375,6.7255859375
42,1,13402947.0,19720.01953125,2641.1494140625,7.004532814025879
43,1,13405090.0,19690.470703125,2641.636962890625,7.321913719177246
44,1,13143779.0,19266.271484375,2590.22314453125,7.153375625610352
45,1,12630348.0,20574.73046875,2484.920166015625,7.978726387023926
46,1,12972653.0,20552.400390625,2553.42578125,7.739381790161133
47,1,13075625.0,19602.27734375,2575.92041015625,7.753064155578613
48,1,12211200.0,20566.43359375,2401.107177734375,8.215067863464355
49,1,11729931.0,19042.875,2307.900390625,8.305054664611816
50,1,11916347.0,20711.48828125,2341.846435546875,8.488690376281738
