step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,2560808704.0,19062.630859375,25607.8984375,30.992656707763672
2,1,48193478656.0,14248.7021484375,481934.65625,12.307567596435547
3,1,2216779264.0,21418.15625,22167.578125,8.937300682067871
4,1,4295378432.0,18176.658203125,42953.59765625,6.674825668334961
5,1,9383212032.0,12763.41796875,93832.0,5.097844123840332
6,1,8506466816.0,14468.8857421875,85064.5234375,4.025871276855469
7,1,6477928448.0,18384.447265625,64779.1015625,3.667940855026245
8,1,5312009216.0,18477.134765625,53119.90625,3.8639795780181885
9,1,4092899840.0,23179.44921875,40928.765625,3.7266287803649902
10,1,3775665152.0,18059.759765625,37756.46875,3.235203742980957
11,1,3305533440.0,17384.927734375,33055.16015625,2.732713222503662
12,1,3118102784.0,19339.21875,31180.833984375,2.684389352798462
13,1,3065160960.0,16181.05078125,30651.44921875,2.6069462299346924
14,1,3130777088.0,20094.84765625,31307.5703125,2.5688960552215576
15,1,2943834368.0,19866.890625,29438.14453125,2.583221435546875
16,1,2952621056.0,17677.984375,29526.033203125,2.169093608856201
17,1,2903868672.0,22885.76171875,29038.458984375,2.7529168128967285
18,1,2868023552.0,21226.32421875,28680.0234375,2.7277488708496094
19,1,2840425984.0,16284.611328125,28404.095703125,2.6017966270446777
20,1,2752241664.0,20443.89453125,27522.212890625,2.939727544784546
21,1,2766206976.0,17094.75390625,27661.8984375,2.6990461349487305
22,1,2774278912.0,21989.044921875,27742.568359375,2.791170358657837
23,1,2710885632.0,22525.884765625,27108.630859375,2.7364704608917236
24,1,2676302336.0,23205.08984375,26762.791015625,3.019613265991211
25,1,2671438848.0,23488.171875,26714.15234375,2.8456788063049316
26,1,2599050496.0,20768.51953125,25990.298828125,3.007957935333252
27,1,2681084928.0,21859.15234375,26810.630859375,2.8680124282836914
28,1,2565966848.0,20782.041015625,25659.4609375,2.9748024940490723
29,1,2535636480.0,23208.818359375,25356.130859375,3.351452350616455
30,1,2576583168.0,21513.419921875,25765.6171875,2.8970227241516113
31,1,2553762304.0,21919.8359375,25537.40234375,2.982959270477295
32,1,2526089984.0,24904.16796875,25260.65234375,2.8962478637695312
33,1,2492919040.0,22318.896484375,24928.96875,2.707786798477173
34,1,2384200960.0,21779.80078125,23841.791015625,3.3047046661376953
35,1,2420626432.0,21247.65234375,24206.052734375,2.9169561862945557
36,1,2331164160.0,24186.48046875,23311.400390625,3.212423801422119
37,1,2265092608.0,19681.43359375,22650.728515625,3.5636587142944336
38,1,2260350720.0,20635.341796875,22603.30078125,3.177211284637451
39,1,2232494848.0,24214.26953125,22324.705078125,3.762666940689087
40,1,2172139264.0,27844.8125,21721.11328125,3.6625781059265137
41,1,2129005312.0,18797.65234375,21289.865234375,3.165584087371826
42,1,2014194688.0,22832.0703125,20141.71875,4.210287094116211
43,1,2058008064.0,22853.412109375,20579.8515625,3.716488838195801
44,1,1941646720.0,28093.7265625,19416.1875,3.702153444290161
45,1,1902807680.0,24757.30859375,19027.830078125,3.536635398864746
46,1,1852884736.0,22333.4921875,18528.625,3.4922099113464355
47,1,1845452928.0,25747.111328125,18454.271484375,3.898918628692627
48,1,1785566592.0,17975.8359375,17855.486328125,3.449716091156006
49,1,1721839488.0,21834.37890625,17218.17578125,4.052157402038574
50,1,1771113088.0,26597.166015625,17710.865234375,3.9132766723632812
51,1,1748849152.0,28450.765625,17488.20703125,4.513057708740234
52,1,1710370944.0,28363.60546875,17103.42578125,4.172006130218506
53,1,1846038784.0,22524.23046875,18460.162109375,3.5677075386047363
54,1,1957170304.0,26003.126953125,19571.443359375,4.728829860687256
55,1,1729530496.0,28816.78515625,17295.017578125,4.743681907653809
56,1,1715503232.0,30215.890625,17154.73046875,4.007842063903809
57,1,1722918912.0,26328.88671875,17228.92578125,3.742077350616455
58,1,1742141184.0,29273.06640625,17421.119140625,4.099278450012207
59,1,1773807104.0,25145.443359375,17737.8203125,4.294605731964111
