step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,2116460032.0,15787.51953125,21164.443359375,25.03427505493164
2,1,9859749888.0,11635.931640625,98597.3828125,7.802196502685547
3,1,2494519552.0,12488.7841796875,24945.0703125,5.727355003356934
4,1,4468901376.0,13295.76953125,44688.8828125,4.382388114929199
5,1,4340615680.0,10062.0703125,43406.0546875,2.80230712890625
6,1,3179806464.0,8810.818359375,31797.978515625,2.191418409347534
7,1,2947161600.0,8293.041015625,29471.533203125,2.246581554412842
8,1,2918319104.0,15726.76171875,29183.03515625,1.7207818031311035
9,1,2740970752.0,10525.703125,27409.6015625,1.6925461292266846
10,1,2546310656.0,13384.46484375,25462.97265625,2.0775680541992188
11,1,2256189696.0,16650.263671875,22561.73046875,2.6077656745910645
12,1,2278584832.0,11511.169921875,22785.732421875,1.907377004623413
13,1,2142009088.0,10872.42578125,21419.982421875,2.5300989151000977
14,1,1891740928.0,11745.9130859375,18917.291015625,2.356800079345703
15,1,1964788480.0,13047.361328125,19647.75390625,2.405932903289795
16,1,1936183936.0,16759.111328125,19361.671875,2.9345502853393555
17,1,1774488064.0,16698.015625,17744.71484375,3.1629557609558105
18,1,1728226560.0,10001.30859375,17282.166015625,2.676271915435791
19,1,1513743104.0,13926.083984375,15137.291015625,3.6748404502868652
20,1,1637381504.0,24207.66015625,16373.5732421875,4.981527328491211
21,1,1533171456.0,12076.15625,15331.5947265625,3.3533177375793457
22,1,1572856192.0,10209.71875,15728.4599609375,3.0465822219848633
23,1,1540907520.0,14784.26953125,15408.9267578125,3.6840524673461914
24,1,1598947328.0,10131.48828125,15989.3720703125,2.6741347312927246
25,1,1499833984.0,13311.6640625,14998.20703125,3.5687429904937744
26,1,1494162432.0,15289.5703125,14941.4716796875,3.2494301795959473
27,1,1405980416.0,16787.224609375,14059.63671875,4.171189308166504
28,1,1408465024.0,14695.609375,14084.5029296875,4.047962188720703
29,1,1506047488.0,9337.873046875,15060.3818359375,2.38600754737854
30,1,1384504064.0,14071.505859375,13844.900390625,3.6109094619750977
31,1,1373544576.0,11878.3408203125,13735.3271484375,3.028541088104248
32,1,1304651264.0,12330.1640625,13046.3896484375,3.240044593811035
33,1,1198458752.0,17561.283203125,11984.412109375,4.683261394500732
34,1,1243464960.0,16036.3603515625,12434.4892578125,4.287562370300293
35,1,1314581120.0,14135.9306640625,13145.669921875,3.5790514945983887
36,1,1323194752.0,13764.029296875,13231.8095703125,4.061867713928223
37,1,1161287808.0,16421.30078125,11612.7138671875,5.490413188934326
38,1,1220875904.0,14261.79296875,12208.6171875,4.823545455932617
39,1,1192765312.0,13398.240234375,11927.5185546875,4.049734115600586
40,1,1139401344.0,14541.02734375,11393.8671875,4.76624059677124
41,1,1140360448.0,14201.7294921875,11403.462890625,4.927184104919434
42,1,1095490304.0,15328.05078125,10954.7490234375,5.578330039978027
43,1,1217302016.0,14158.4296875,12172.8779296875,4.19536018371582
44,1,1083717248.0,18993.8671875,10836.9833984375,6.252214431762695
45,1,1096007296.0,18962.806640625,10959.8837890625,5.924560546875
46,1,1113670656.0,17369.08984375,11136.5322265625,5.417764663696289
47,1,1106606976.0,19227.4375,11065.8779296875,6.084597587585449
48,1,1107698432.0,14634.263671875,11076.837890625,5.013068675994873
49,1,1101642112.0,13795.583984375,11016.283203125,5.205523490905762
50,1,1030050432.0,23670.462890625,10300.267578125,6.719043254852295
51,1,1024271104.0,23157.85546875,10242.4794921875,7.048542022705078
52,1,1019935488.0,22222.40625,10199.1328125,6.717586517333984
53,1,1082056576.0,14455.609375,10820.4208984375,5.048523902893066
