step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,13440078848.0,12482.359375,134400.546875,24.847198486328125
2,1,8055641600.0,14564.302734375,80556.125,10.143631935119629
3,1,12504151040.0,8168.97021484375,125041.34375,5.87650203704834
4,1,6949135360.0,15279.396484375,69491.046875,3.443526268005371
5,1,3958855168.0,10599.7626953125,39588.33984375,2.37974214553833
6,1,4071198464.0,17361.59765625,40711.63671875,3.984879970550537
7,1,3034276096.0,15799.748046875,30342.447265625,3.3381903171539307
8,1,2655970304.0,16365.0693359375,26559.375,2.7938528060913086
9,1,2338636032.0,16835.25390625,23386.0234375,3.2530055046081543
10,1,2151267072.0,27244.220703125,21512.125,4.231492042541504
11,1,1917721984.0,19385.3671875,19176.83203125,3.501836061477661
12,1,1727484032.0,18558.38671875,17274.46875,3.374812602996826
13,1,1588292096.0,20412.6484375,15882.5126953125,4.057594299316406
14,1,1709214848.0,23384.0,17091.681640625,4.653573989868164
15,1,1770124032.0,21185.875,17700.81640625,3.6363413333892822
16,1,1487266688.0,22585.75,14872.21484375,4.363766670227051
17,1,1537417472.0,24252.046875,15373.689453125,4.237762451171875
18,1,1489091072.0,21369.171875,14890.4833984375,5.072543144226074
19,1,1452258304.0,21967.66796875,14522.14453125,3.578235149383545
20,1,1434210816.0,20208.828125,14341.703125,3.6849327087402344
21,1,1420278144.0,25931.39453125,14202.2626953125,4.7482686042785645
22,1,1458227328.0,23722.08984375,14581.798828125,4.407619476318359
23,1,1307355136.0,26838.701171875,13073.0146484375,5.091273307800293
24,1,1354711936.0,15164.8515625,13546.8154296875,3.62402081489563
25,1,1336576128.0,16804.73046875,13365.4248046875,3.7608535289764404
26,1,1401420800.0,19333.8828125,14013.8212890625,4.1808600425720215
27,1,1377302400.0,13636.4921875,13772.7509765625,3.145453453063965
28,1,1330916224.0,17534.357421875,13308.8115234375,4.056692600250244
29,1,1200118912.0,21091.91015625,12000.7666015625,4.7659831047058105
30,1,1235733120.0,23973.58203125,12356.8515625,5.8771562576293945
31,1,1303666560.0,16241.5390625,13036.33984375,3.963582992553711
32,1,1180417280.0,18792.78515625,11803.7958984375,4.624578475952148
33,1,1276831104.0,20636.115234375,12767.8994140625,3.7219486236572266
34,1,1189542016.0,22013.54296875,11894.98046875,5.085861682891846
35,1,1138154752.0,17958.06640625,11381.1884765625,4.453697204589844
36,1,1148155520.0,21359.78515625,11481.1279296875,4.137328147888184
37,1,1045545856.0,22126.5859375,10455.0166015625,5.40509033203125
38,1,1094550528.0,22999.2265625,10945.0458984375,5.291361331939697
39,1,1065667328.0,21598.7578125,10656.2412109375,5.199614524841309
40,1,1007553664.0,23372.97265625,10075.0693359375,5.501652717590332
41,1,1031290880.0,19849.337890625,10312.51171875,5.080601692199707
42,1,1099514112.0,21457.80078125,10994.7119140625,4.670368194580078
43,1,1066088384.0,23465.51953125,10660.4150390625,5.528990745544434
44,1,1161059584.0,19705.35546875,11610.2021484375,4.255368709564209
45,1,1021680704.0,18066.9375,10216.4453125,4.825575828552246
46,1,927360640.0,21528.93359375,9273.17578125,6.044930934906006
47,1,1085223808.0,23773.458984375,10851.763671875,5.141904830932617
48,1,979785536.0,21018.14453125,9797.4345703125,4.811124801635742
49,1,1009904064.0,22442.802734375,10098.591796875,5.470352649688721
50,1,929289664.0,27587.412109375,9292.3447265625,6.198798179626465
51,1,897811712.0,28228.20703125,8977.552734375,6.285243511199951
52,1,925704320.0,23119.7890625,9256.5810546875,5.984006881713867
53,1,993896512.0,29297.15625,9938.37890625,6.451531410217285
54,1,921204608.0,23366.337890625,9211.5791015625,5.992097854614258
55,1,1016914688.0,16140.259765625,10168.82421875,4.067388534545898
56,1,974520000.0,27328.29296875,9744.6533203125,6.038389205932617
57,1,966966784.0,18955.61328125,9669.2890625,4.810305118560791
58,1,936114432.0,25194.82421875,9360.640625,5.565738201141357
59,1,872321088.0,24620.62890625,8722.71875,5.916617393493652
60,1,946795968.0,18532.1640625,9467.5888671875,4.606804847717285
61,1,911245312.0,23921.265625,9111.974609375,5.748566627502441
62,1,905017920.0,27535.73046875,9049.62890625,6.686810493469238
63,1,883631232.0,27727.6875,8835.7578125,5.724694728851318
64,1,828963776.0,33741.453125,8288.962890625,7.582568168640137
65,1,991857472.0,24301.40234375,9918.0888671875,5.852972030639648
66,1,866265216.0,24095.6953125,8662.169921875,5.829500198364258
67,1,829352576.0,26057.5,8293.0048828125,6.484251976013184
68,1,887004992.0,28698.93359375,8869.4755859375,6.702959060668945
69,1,909600128.0,25031.33984375,9095.5009765625,5.708093643188477
70,1,835559552.0,28366.185546875,8355.0283203125,6.475316047668457
71,1,892937728.0,22242.48046875,8928.9326171875,5.42166805267334
72,1,953091584.0,25433.013671875,9530.4072265625,6.2210612297058105
73,1,793553728.0,28126.669921875,7934.974609375,6.737554550170898
74,1,791545408.0,27892.32421875,7914.89599609375,6.667635440826416
75,1,800223232.0,29081.626953125,8001.650390625,7.288186073303223
76,1,822318784.0,28337.30078125,8222.62109375,6.873164653778076
77,1,804745408.0,29035.73828125,8046.87353515625,7.16110897064209
78,1,813364032.0,25838.724609375,8133.12353515625,6.844959259033203
79,1,824478400.0,22498.09765625,8244.333984375,6.278182029724121
80,1,766065984.0,31709.1328125,7660.025390625,7.830157279968262
81,1,870985664.0,30438.15625,8709.248046875,6.649385452270508
82,1,801713024.0,24915.84765625,8016.6318359375,6.880960464477539
83,1,843113856.0,26602.4140625,8430.6064453125,7.152360439300537
84,1,779198464.0,34097.1328125,7791.30224609375,8.765589714050293
85,1,739990528.0,31053.859375,7399.28466796875,7.808431148529053
86,1,758086656.0,32563.845703125,7580.21533203125,8.29452133178711
87,1,772147456.0,34649.9765625,7720.78125,8.381064414978027
88,1,728948800.0,28234.734375,7288.92333984375,7.6780476570129395
89,1,748118784.0,31613.5625,7480.5556640625,7.97318696975708
90,1,795836736.0,30857.283203125,7957.75048828125,7.402256965637207
91,1,765703104.0,31633.177734375,7656.39794921875,8.155802726745605
92,1,708505280.0,33413.7265625,7084.384765625,8.785090446472168
93,1,761077312.0,25722.203125,7610.2587890625,7.8692426681518555
94,1,769502528.0,25462.98828125,7694.51611328125,7.352954387664795
95,1,755703296.0,24637.69921875,7556.5400390625,7.164280891418457
96,1,721461568.0,28574.6328125,7214.0439453125,8.3482027053833
97,1,706235840.0,28631.8203125,7061.78564453125,8.535040855407715
98,1,710225600.0,29530.041015625,7101.66552734375,8.126280784606934
99,1,748593792.0,26212.90625,7485.41357421875,7.4991607666015625
100,1,733241856.0,28520.49609375,7331.84814453125,8.209939956665039
101,1,661293120.0,34482.19921875,6612.2412109375,9.66732120513916
102,1,667404544.0,34953.30859375,6673.3466796875,9.76197624206543
103,1,697135168.0,30859.453125,6970.73486328125,9.115175247192383
104,1,674173632.0,34135.421875,6741.0537109375,9.754471778869629
105,1,672041792.0,32814.91015625,6719.76220703125,8.68520736694336
106,1,676647808.0,29641.279296875,6765.8857421875,8.429975509643555
107,1,685918016.0,31364.234375,6858.55322265625,8.81287956237793
108,1,644243840.0,33319.921875,6441.77197265625,9.350318908691406
109,1,637726912.0,33214.26953125,6376.6044921875,9.889555931091309
110,1,654043776.0,37518.51171875,6539.6875,11.072952270507812
111,1,647947456.0,33188.1328125,6478.81103515625,9.713342666625977
112,1,602745408.0,35109.6796875,6026.751953125,10.555788040161133
113,1,648561856.0,27098.16015625,6485.076171875,8.946321487426758
114,1,646555904.0,34252.21875,6464.87451171875,9.76604175567627
115,1,611552576.0,34258.15234375,6114.84033203125,10.300554275512695
116,1,693352192.0,28348.65625,6932.95458984375,9.14619255065918
117,1,659192192.0,23969.48828125,6591.44287109375,8.020076751708984
118,1,601813824.0,35083.81640625,6017.43701171875,10.259323120117188
119,1,680752192.0,32920.12109375,6806.86328125,10.308089256286621
120,1,625967616.0,30770.64453125,6259.060546875,10.447921752929688
121,1,603578368.0,36939.2890625,6035.04541015625,11.40118408203125
122,1,608642496.0,33760.9921875,6085.75,10.340062141418457
123,1,564740864.0,29806.986328125,5646.8125,10.369104385375977
124,1,584849088.0,29230.18359375,5847.90625,9.81767463684082
125,1,623360128.0,30528.392578125,6232.99072265625,10.424531936645508
126,1,577402432.0,33407.1328125,5773.35595703125,10.929956436157227
127,1,550942016.0,32462.705078125,5508.77099609375,10.956449508666992
128,1,604201664.0,36975.8671875,6041.27734375,12.36819839477539
129,1,535386336.0,38801.55859375,5353.08740234375,13.103048324584961
130,1,557505088.0,32917.53125,5574.392578125,11.581958770751953
131,1,594466112.0,27735.91015625,5944.10595703125,10.068170547485352
132,1,559833792.0,30477.6484375,5597.728515625,11.72525691986084
133,1,518820512.0,29395.33984375,5187.6171875,11.078914642333984
134,1,553467584.0,29819.779296875,5534.0791015625,11.136556625366211
135,1,482176736.0,30280.126953125,4821.16162109375,11.732081413269043
136,1,473087936.0,35520.203125,4730.1689453125,13.058416366577148
137,1,530988064.0,27986.1640625,5309.32080078125,11.380608558654785
138,1,461461824.0,34793.5,4613.92236328125,13.730867385864258
139,1,446067520.0,38626.296875,4459.90283203125,14.890240669250488
140,1,438545600.0,40400.1796875,4384.64794921875,15.118437767028809
141,1,450453696.0,40254.30859375,4503.73193359375,15.146402359008789
142,1,480680512.0,31012.27734375,4806.18505859375,12.487268447875977
143,1,435609632.0,31084.126953125,4355.474609375,13.16415786743164
144,1,415900832.0,31027.291015625,4158.3876953125,13.58873176574707
145,1,386267040.0,32883.234375,3862.0126953125,13.65298843383789
146,1,409466368.0,27873.8203125,4094.106201171875,13.107187271118164
147,1,390584704.0,31611.3203125,3905.21484375,15.545418739318848
148,1,361935232.0,36899.0234375,3618.6142578125,17.687942504882812
149,1,383130464.0,30484.58203125,3830.695068359375,15.019963264465332
150,1,360934976.0,35436.6953125,3608.640869140625,17.001327514648438
151,1,352237024.0,28056.9765625,3521.80908203125,14.651723861694336
152,1,340093216.0,31622.873046875,3400.2998046875,15.198163986206055
153,1,346123968.0,32198.27734375,3460.595947265625,15.749406814575195
154,1,322278432.0,35038.9296875,3222.08349609375,19.49469566345215
155,1,320506240.0,33426.9453125,3204.393798828125,18.86905288696289
156,1,318387616.0,36444.671875,3183.147216796875,18.094579696655273
157,1,346150464.0,29142.0546875,3460.921875,14.360462188720703
158,1,326968512.0,26707.76953125,3269.151123046875,16.012752532958984
159,1,293249696.0,34248.26171875,2931.811767578125,19.54220962524414
160,1,291080064.0,35459.16015625,2910.091552734375,20.168119430541992
161,1,339472064.0,28864.810546875,3394.143310546875,15.805403709411621
162,1,280756320.0,32263.529296875,2806.91796875,20.12934112548828
163,1,300695104.0,30934.59765625,3006.33251953125,18.507535934448242
164,1,282194944.0,34529.265625,2821.2587890625,21.65388298034668
165,1,266513920.0,30861.84375,2664.52197265625,19.953901290893555
166,1,287699712.0,33362.52734375,2876.329833984375,20.01636505126953
167,1,263439952.0,32953.03125,2633.740478515625,22.414583206176758
168,1,240715104.0,28952.189453125,2406.572021484375,20.473281860351562
169,1,259357552.0,31081.564453125,2592.953857421875,20.604084014892578
170,1,232602224.0,30397.533203125,2325.414306640625,21.53183364868164
171,1,258767184.0,30710.69921875,2587.0576171875,18.81707000732422
172,1,265380688.0,29139.56640625,2653.22412109375,19.090221405029297
173,1,247846736.0,31045.35546875,2477.846435546875,21.41775131225586
174,1,225769984.0,28948.80859375,2257.120849609375,20.658119201660156
175,1,244465952.0,33740.921875,2443.984619140625,22.054012298583984
176,1,278431872.0,28406.537109375,2783.750732421875,20.430362701416016
177,1,223881616.0,31873.33203125,2238.1787109375,21.248504638671875
178,1,301740256.0,30404.46875,3016.79443359375,18.154865264892578
179,1,216599200.0,31897.76171875,2165.35400390625,20.71242904663086
180,1,251617856.0,29592.328125,2515.586669921875,20.180282592773438
181,1,232398096.0,31983.876953125,2323.34130859375,20.749412536621094
182,1,210754096.0,29114.765625,2106.958740234375,21.929779052734375
183,1,209263760.0,31735.330078125,2092.0029296875,21.907962799072266
184,1,270439168.0,24272.060546875,2703.90625,20.512462615966797
185,1,192032176.0,28636.703125,1919.7489013671875,20.746747970581055
186,1,224547920.0,26805.98046875,2244.943115234375,20.950807571411133
187,1,201309872.0,30462.173828125,2012.489501953125,21.56863784790039
188,1,227038512.0,32585.87890625,2269.7333984375,23.981769561767578
189,1,207894768.0,30769.609375,2078.332275390625,22.563739776611328
190,1,217405600.0,29499.923828125,2173.466064453125,23.6151123046875
191,1,190521136.0,29005.69921875,1904.6312255859375,23.331016540527344
192,1,201117120.0,31718.32421875,2010.536865234375,23.73004150390625
193,1,192125312.0,27266.9296875,1920.707763671875,24.028316497802734
194,1,235754752.0,29060.84765625,2356.96630859375,21.240482330322266
195,1,173327808.0,28408.548828125,1732.7099609375,21.024137496948242
196,1,190168320.0,28866.125,1901.10595703125,22.40863800048828
197,1,216682592.0,28945.80078125,2166.2470703125,19.114505767822266
198,1,164505776.0,26254.08203125,1644.53271484375,23.532268524169922
199,1,200622080.0,29066.6875,2005.6395263671875,20.984542846679688
200,1,187690544.0,26405.322265625,1876.3773193359375,22.307621002197266
201,1,169448960.0,33087.9921875,1693.827880859375,24.318069458007812
202,1,219676480.0,32276.7109375,2196.119140625,19.81901741027832
203,1,156460352.0,26052.3984375,1564.0823974609375,23.42682647705078
204,1,166040256.0,28150.236328125,1659.8394775390625,22.695972442626953
205,1,159976128.0,26616.37890625,1599.22900390625,22.86600112915039
206,1,163420416.0,29472.4609375,1633.61474609375,22.295507431030273
207,1,153130496.0,29709.521484375,1530.710693359375,22.6790771484375
208,1,151958304.0,25643.451171875,1519.0703125,24.164220809936523
209,1,159640352.0,25913.37890625,1595.88525390625,25.53819465637207
210,1,144497360.0,26233.158203125,1444.448974609375,26.49976921081543
211,1,139799440.0,28691.498046875,1397.420654296875,23.841867446899414
212,1,157606224.0,24938.25,1575.5634765625,21.775724411010742
213,1,154110704.0,26414.798828125,1540.5787353515625,24.868343353271484
214,1,133953728.0,31352.681640625,1338.9102783203125,26.337215423583984
215,1,159762560.0,26309.39453125,1597.099365234375,24.374847412109375
216,1,123972088.0,29834.017578125,1239.1241455078125,24.28012466430664
217,1,154375808.0,28486.11328125,1543.1883544921875,23.173995971679688
218,1,136360016.0,25561.98828125,1363.0889892578125,24.341279983520508
219,1,129894200.0,26292.90625,1298.4161376953125,27.57147979736328
220,1,117863064.0,25063.45703125,1178.12939453125,26.240493774414062
221,1,121092400.0,30147.25390625,1210.321044921875,25.25609016418457
222,1,124081840.0,28260.2265625,1240.253173828125,24.30158233642578
223,1,114931160.0,25422.203125,1148.8031005859375,25.933677673339844
224,1,130743208.0,26120.6171875,1306.90966796875,23.05321502685547
225,1,122655944.0,27740.029296875,1226.004638671875,25.209239959716797
