input,output,model,device,image_size,delta_time,content_loss,style_loss,tv_loss
data/test_images/test.jpg,results/real_output.png,checkpoints/real_model.pth,cuda,512,0.090818,8169.674805,16272.008789,2.739866
data/test_images/test.jpg,results/best_output.png,checkpoints/best_model.pth,cuda,512,0.090799,20547.820312,1568.746094,40.156097
data/test_images/test.jpg,results/experiments/output_1e4.png,checkpoints/experiments/model_1e4.pth,cuda,512,0.094790,20129.710938,1478.539185,41.022366
data/test_images/test.jpg,results/experiments/output_1e5.png,checkpoints/best_model.pth,cuda,512,0.097476,20547.820312,1568.746094,40.156097
data/test_images/test.jpg,results/experiments/output_1e6.png,checkpoints/experiments/model_1e6.pth,cuda,512,0.091766,19801.894531,1684.371582,35.357151
/home/yxhou/medium-project/data/test_images/test.jpg,/home/yxhou/medium-project/results/output_10epochs.png,/home/yxhou/medium-project/checkpoints/model_10epochs.pth,cuda,512,0.093628,21118.921875,1526.756836,39.315491
/home/yxhou/medium-project/data/test_images/test.jpg,/home/yxhou/medium-project/results/output_15epochs.png,/home/yxhou/medium-project/checkpoints/model_15epochs.pth,cuda,512,0.094315,20497.449219,1511.616211,39.161575
/home/yxhou/medium-project/data/test_images/test.jpg,/home/yxhou/medium-project/results/output_15epochs_256.png,/home/yxhou/medium-project/checkpoints/model_15epochs.pth,cuda,256,0.106602,24403.121094,65.596977,39.196785
/home/yxhou/medium-project/data/test_images/test.jpg,/home/yxhou/medium-project/results/output_512_final.png,/home/yxhou/medium-project/checkpoints/model_512_15epochs.pth,cuda,512,0.095290,19151.400391,26.191938,35.245010
data/test_images/test.jpg,results/test_stretch_output.png,checkpoints/best_model.pth,cuda,512,0.091188,22690.101562,1548.719604,40.117233
data/test_images/test.jpg,results/test_aspect_ratio_output.png,checkpoints/best_model.pth,cuda,512,0.095648,25131.548828,1500.436646,40.047268
data/test_images/test.jpg,results/output.png,checkpoints/best_model.pth,cuda,512,0.089491,25131.548828,1500.436646,40.047268
data/test_images/test.jpg,results/output_high_res.png,checkpoints/best_model.pth,cuda,672,0.090730,21989.189453,4239.840332,40.116302
data/test_images/test.jpg,results/output1.png,checkpoints/best_model.pth,cuda,1024,0.093921,20174.025391,10527.247070,40.162315
data/test_images/test.jpg,results/output_correct_model.png,checkpoints/model_512_content2x.pth,cuda,672,0.092304,21319.558594,947.831726,36.170437
data/test_images/test.jpg,results/output_512_15epochs_test.png,checkpoints/model_512_15epochs.pth,cuda,672,0.092805,21026.640625,1005.768372,35.482460
data/test_images/test.jpg,results/output_quick_test.png,checkpoints/model_quick_test.pth,cuda,672,0.094638,20897.375000,1126.896973,35.854668
data/test_images/test.jpg,results/output_balanced_500.png,checkpoints/model_balanced_500.pth,cuda,672,0.091597,16691.167969,905.220032,35.336540
data/test_images/test1.JPG,result1.JPG,checkpoints/model_balanced_500.pth,cuda,512,0.089714,18087.984375,86.399475,35.108253
